pad,well,event_type,timestamp,pad_pg_value
P121,105W13,105W13 +2.48 hz,2025-08-06 10:49:00,-0.06865441799163818
P121,105W13,105W13 +2.57 hz,2025-08-06 11:01:00,148.26239013671875
P121,105W13,105W13 +2.1 hz,2025-08-07 03:43:00,-0.024307889863848686
P121,105W13,105W13 +2.19 hz,2025-08-07 04:01:00,174.34625244140625
P121,105W13,105W13 +2.35 hz,2025-08-07 04:19:00,-0.0972650796175003
P121,105W13,105W13 +2.08 hz,2025-08-07 04:37:00,160.75619506835938
P121,105W13,105W13 +2.12 hz,2025-08-07 04:55:00,-0.07437655329704285
P121,105W16,105W16 trip,2025-08-05 06:37:00,127.59356689453125
P121,105W16,105W16 start,2025-08-05 09:43:00,171.99017333984375
P121,105W16,105W16 trip,2025-08-06 01:43:00,122.62103271484375
P121,105W16,105W16 start,2025-08-06 01:55:00,108.46590423583984
P121,105W16,105W16 +12.74 hz,2025-08-06 02:49:00,106.61336517333984
P121,105W16,105W16 NFE,2025-08-06 04:25:00,125.8197021484375
P121,105W16,105W16 trip,2025-08-06 11:19:00,91.2108154296875
P121,105W16,105W16 start,2025-08-07 01:25:00,-0.07437655329704285
P121,105W17,105W17 trip,2025-08-05 05:43:00,136.48861694335938
P121,105W17,105W17 start,2025-08-05 10:07:00,-0.1015566810965538
P121,105W17,105W17 trip,2025-08-05 18:43:00,127.36324310302734
P121,105W17,105W17 start,2025-08-05 22:19:00,116.14213562011719
P121,106W1,106W1 +13.25 hz,2025-08-04 01:01:00,0.03434397652745247
P121,106W1,106W1 +16.92 hz,2025-08-04 01:37:00,0.061524104326963425
P121,106W1,106W1 +6.62 hz,2025-08-04 02:55:00,0.03434397652745247
P121,106W1,106W1 +16.85 hz,2025-08-04 04:13:00,-0.07294601947069168
P121,106W1,106W1 +10.57 hz,2025-08-04 04:43:00,-0.10298721492290497
P121,106W11,106W11 NFE,2025-07-28 00:19:00,189.16610717773438
P121,106W11,106W11 NFE,2025-08-04 18:13:00,-0.12873680889606476
P121,106W13,106W13 +2.03 hz,2025-07-30 04:13:00,119.452392578125
P121,106W13,106W13 trip,2025-07-30 18:19:00,107.83647918701172
P121,106W13,106W13 start,2025-07-30 22:49:00,-0.02001628838479519
P121,106W13,106W13 NFE,2025-07-30 18:55:00,109.50017547607422
P121,106W13,106W13 +2.17 hz,2025-07-31 23:25:00,162.00933837890625
P121,106W13,106W13 +2.02 hz,2025-08-01 02:37:00,-0.10298721492290497
P121,106W13,106W13 +2.02 hz,2025-08-01 03:49:00,-0.07866815477609634
P121,106W13,106W13 +2.59 hz,2025-08-02 03:31:00,0.03434397652745247
P121,106W13,106W13 +2.58 hz,2025-08-03 21:19:00,124.55082702636719
P121,106W13,106W13 trip,2025-08-03 23:55:00,-0.18309707939624786
P121,106W13,106W13 trip,2025-08-04 00:07:00,0.035774506628513336
P121,106W13,106W13 start,2025-08-04 11:13:00,132.8507843017578
P121,106W13,106W13 +2.01 hz,2025-08-04 19:31:00,116.37818908691406
P121,106W13,106W13 +2.14 hz,2025-08-04 21:37:00,114.63579559326172
P121,106W13,106W13 +2.4 hz,2025-08-04 22:55:00,-0.07151548564434052
P121,106W13,106W13 +2.11 hz,2025-08-06 04:07:00,107.79784393310547
P121,106W13,106W13 +2.15 hz,2025-08-06 12:01:00,-0.07437655329704285
P121,106W13,106W13 +2.04 hz,2025-08-06 17:19:00,159.3356475830078
P121,106W13,106W13 +2.04 hz,2025-08-06 18:31:00,146.63682556152344
P121,106W13,106W13 +2.63 hz,2025-08-07 14:13:00,148.6495819091797
P121,106W13,106W13 +2.29 hz,2025-08-09 07:25:00,149.37486267089844
P121,106W13,106W13 +2.09 hz,2025-08-09 18:55:00,147.8270263671875
P121,106W13,106W13 +2.0 hz,2025-08-10 01:19:00,-0.10298721492290497
P121,106W15,106W15 NFE,2025-07-28 07:43:00,142.8015594482422
P121,106W15,106W15 trip,2025-07-28 14:01:00,194.1195526123047
P121,106W15,106W15 start,2025-07-28 20:07:00,-0.07437655329704285
P121,106W15,106W15 trip,2025-07-28 20:49:00,-0.13016735017299652
P121,106W15,106W15 start,2025-07-29 11:07:00,-0.07437655329704285
P121,106W15,106W15 trip,2025-07-29 14:13:00,158.05963134765625
P121,106W15,106W15 start,2025-07-30 09:07:00,183.6389923095703
P121,106W15,106W15 NFE,2025-07-30 09:13:00,153.3560333251953
P121,106W15,106W15 trip,2025-07-30 18:31:00,118.272216796875
P121,106W15,106W15 start,2025-07-30 22:55:00,112.37554931640625
P121,106W15,106W15 NFE,2025-07-30 19:01:00,-0.07151548564434052
P121,106W15,106W15 trip,2025-07-31 08:13:00,227.0942840576172
