pad,well,event_type,timestamp,pg_before,pg_after,delta_pg
108,108P13,108P13 +12.03 hz,2025-08-16 02:01:00,145.837158203125,137.9506378173828,-7.8865203857421875
108,108P14,108P14 trip,2025-08-16 02:19:00,137.9506378173828,173.85984802246094,35.909210205078125
108,108P14,108P14 start,2025-08-17 13:25:00,173.85984802246094,142.74864196777344,-31.1112060546875
108,108P14,108P14 start,2025-08-17 13:31:00,142.74864196777344,161.3012237548828,18.552581787109375
108,108P14,108P14 trip,2025-08-17 18:07:00,161.3012237548828,-0.0500574894249439,-161.35128124430776
108,108P08,108P08 trip,2025-08-17 18:31:00,-0.0500574894249439,133.02101135253906,133.071068841964
108,108P08,108P08 trip,2025-08-17 18:43:00,133.02101135253906,127.2745590209961,-5.746452331542969
108,108P14,108P14 +20.91 hz,2025-08-17 20:01:00,127.2745590209961,184.70187377929688,57.42731475830078
108,108P04,108P04 +11.23 hz,2025-08-17 20:19:00,184.70187377929688,134.29132080078125,-50.410552978515625
108,108P14,108P14 trip,2025-08-17 22:13:00,134.29132080078125,-0.0743765532970428,-134.3656973540783
108,108P04,108P04 trip,2025-08-18 06:19:00,-0.0743765532970428,179.560546875,179.63492342829704
108,108P04,108P04 start,2025-08-18 06:49:00,179.560546875,144.5682830810547,-34.99226379394531
108,108P08,108P08 start,2025-08-18 08:25:00,144.5682830810547,129.34596252441406,-15.222320556640625
108,108P12,108P12 NFE,2025-08-19 10:19:00,129.34596252441406,-0.0786681547760963,-129.42463067919016
108,108P08,108P08 trip,2025-08-19 18:07:00,-0.0786681547760963,114.64437866210938,114.72304681688547
108,108P08,108P08 trip,2025-08-19 18:13:00,114.64437866210938,160.678955078125,46.034576416015625
108,108P08,108P08 start,2025-08-20 09:01:00,160.678955078125,,
116,16WP13,16WP13 NFE,2025-08-11 11:01:00,120.10042572021484,148.32769775390625,28.227272033691406
116,16WP18,16WP18 trip,2025-08-11 15:19:00,148.32769775390625,148.32769775390625,0.0
116,16WP13,16WP13 trip,2025-08-11 15:19:00,148.32769775390625,161.68316650390625,13.35546875
116,16WP18,16WP18 trip,2025-08-11 15:25:00,161.68316650390625,161.68316650390625,0.0
116,16WP13,16WP13 trip,2025-08-11 15:25:00,161.68316650390625,151.14585876464844,-10.537307739257812
116,16WP13,16WP13 start,2025-08-11 19:37:00,151.14585876464844,151.14585876464844,0.0
116,16WP18,16WP18 start,2025-08-11 19:37:00,151.14585876464844,163.8489990234375,12.703140258789062
116,16WP18,16WP18 start,2025-08-11 19:43:00,163.8489990234375,163.8489990234375,0.0
116,16WP13,16WP13 start,2025-08-11 19:43:00,163.8489990234375,119.71990966796876,-44.129089355468736
116,16WP13,16WP13 NFE,2025-08-11 21:19:00,119.71990966796876,-0.2646374702453613,-119.98454713821413
116,16WP03,16WP03 trip,2025-08-11 23:49:00,-0.2646374702453613,113.48851776123048,113.75315523147584
116,16WP03,16WP03 trip,2025-08-11 23:55:00,113.48851776123048,-0.048626959323883,-113.53714472055437
116,16WP03,16WP03 start,2025-08-12 07:19:00,-0.048626959323883,145.26637268066406,145.31499963998795
116,16WP03,16WP03 NFE,2025-08-12 07:31:00,145.26637268066406,115.6242904663086,-29.64208221435547
116,16WP03,16WP03 trip,2025-08-12 12:49:00,115.6242904663086,137.734619140625,22.110328674316406
116,16WP11,16WP11 trip,2025-08-14 06:19:00,137.734619140625,137.734619140625,0.0
116,16WP16,16WP16 trip,2025-08-14 06:19:00,137.734619140625,119.7213363647461,-18.013282775878906
116,16WP11,16WP11 start,2025-08-14 13:07:00,119.7213363647461,119.7213363647461,0.0
116,16WP16,16WP16 start,2025-08-14 13:07:00,119.7213363647461,150.2160186767578,30.49468231201172
116,16WP03,16WP03 start,2025-08-14 20:07:00,150.2160186767578,117.3681182861328,-32.847900390625014
116,16WP05,16WP05 start,2025-08-14 20:43:00,117.3681182861328,152.80958557128906,35.441467285156264
116,16WP03,16WP03 +6.11 hz,2025-08-15 02:13:00,152.80958557128906,124.9485092163086,-27.86107635498047
116,16WP05,16WP05 +2.21 hz,2025-08-15 14:31:00,124.9485092163086,124.9485092163086,0.0
116,16WP05,16WP05 trip,2025-08-15 14:31:00,124.9485092163086,125.05865478515624,0.11014556884764204
116,16WP03,16WP03 NFE,2025-08-16 13:31:00,125.05865478515624,140.2008514404297,15.142196655273452
116,16WP03,16WP03 trip,2025-08-16 18:07:00,140.2008514404297,-0.1029872149229049,-140.3038386553526
116,16WP06,16WP06 trip,2025-08-19 22:13:00,-0.1029872149229049,151.0156707763672,151.1186579912901
116,16WP06,16WP06 start,2025-08-19 23:31:00,151.0156707763672,,
